X	Y	LS	lowCI	upCI	Xs	Ys	Len	Delay	P	PCC	Ppcc	SPCC	Pspcc	Dspcc	SCC	Pscc	SSCC	Psscc	Dsscc	Q	Qpcc	Qspcc	Qscc	Qsscc	Xi	Yi
OTU_18	OTU_34	-0.281623	-0.281623	-0.281623	2	1	17	1	0.296000	-0.046136	0.830493	-0.115720	0.599031	-1	-0.163153	0.446215	-0.279594	0.196336	1	0.480863	0.650739	0.004179	0.479762	0.000967	26	32
OTU_18	OTU_28	-0.221000	-0.221000	-0.221000	2	1	19	1	0.417000	-0.269792	0.202329	-0.269792	0.202329	0	-0.171902	0.421864	-0.211416	0.332856	1	0.548714	0.630283	0.003123	0.468119	0.001288	26	33
OTU_18	OTU_81	-0.272705	-0.272705	-0.272705	6	6	17	0	0.166000	-0.209429	0.326017	-0.209429	0.326017	0	-0.325225	0.120968	-0.325225	0.120968	0	0.382684	0.630283	0.003606	0.275281	0.000752	26	34
OTU_18	OTU_73	0.581205	0.581205	0.581205	2	1	22	1	0.008000	-0.009376	0.965319	0.198292	0.364409	1	0.297185	0.158456	0.636657	0.001089	1	0.111124	0.679970	0.003695	0.310282	0.000083	26	35
OTU_18	OTU_1194	0.421873	0.421873	0.421873	7	6	18	1	0.599000	-0.155684	0.467579	-0.155684	0.467579	0	0.067665	0.753406	0.350016	0.101573	1	0.633849	0.630283	0.003889	0.587016	0.000691	26	36
OTU_18	OTU_87	0.438372	0.438372	0.438372	10	9	15	1	0.596000	-0.023266	0.914068	0.154988	0.480107	1	0.355077	0.088635	0.355077	0.088635	0	0.633176	0.667874	0.003921	0.239861	0.000648	26	37
OTU_18	OTU_25	-0.233454	-0.233454	-0.233454	2	1	17	1	0.487000	-0.187748	0.379660	-0.187748	0.379660	0	-0.312622	0.136924	-0.312622	0.136924	0	0.585372	0.630283	0.003723	0.290597	0.000800	26	38
OTU_18	OTU_23	-0.530773	-0.530773	-0.530773	2	1	20	1	0.256000	-0.189874	0.374189	0.729034	0.000079	-1	-0.368290	0.076599	-0.461238	0.026742	1	0.451820	0.630283	0.000012	0.226400	0.000370	26	39
OTU_18	OTU_96	0.432351	0.432351	0.432351	3	3	21	0	0.047000	0.172208	0.421026	-0.228396	0.294546	-1	0.488399	0.015457	0.488399	0.015457	0	0.228597	0.630283	0.003510	0.106251	0.000301	26	40
OTU_18	OTU_43	0.227597	0.227597	0.227597	3	3	12	0	0.607000	0.136229	0.525606	0.136229	0.525606	0	0.241794	0.254994	0.241794	0.254994	0	0.635616	0.630283	0.004023	0.379241	0.001105	26	41
OTU_18	OTU_24	0.566285	0.566285	0.566285	7	7	18	0	0.141000	0.832401	0.000000	0.832401	0.000000	0	0.165082	0.440782	0.165082	0.440782	0	0.353600	0.000044	0.000000	0.476477	0.001545	26	42
OTU_18	OTU_67	0.642421	0.642421	0.642421	7	7	18	0	0.070000	0.208380	0.328503	0.208380	0.328503	0	0.504992	0.011839	0.504992	0.011839	0	0.269274	0.630283	0.003610	0.092464	0.000264	26	43
